tweet 1:Time:Mon Dec 14 18:57:42 +0000 2020 ,tweet text:\u8429\u5c3e\u671b\u90fd\u306e\u65b0\u3057\u3044\u7b46: iPad\u3092\u4f7f\u3063\u3066\u9060\u9694\u4f5c\u696d\u3067\u63cf\u304b\u308c\u305f\u3001\n\u300c\u30ac\u30ea\u30ec\u30aa\u306e\u5b87\u5b99\u300d\u306e\u5275\u4f5c\u30a4\u30f3\u30bf\u30d3\u30e5\u30fc\u3002 https:\/\/t.co\/Lfvm0fiqxI https:\/\/t.co\/DSwINIAS9E""displaytextrange":073"source":"\u003ca href=\"http:\/\/tapbots.com\/tweetbot\" rel=\"nofollow\"\u003eTweetbot for i\u039fS\u003c\/a\u003e""truncated":false"inreplytostatusid":null"inreplytostatusidstr":null"inreplytouserid":null"inreplytouseridstr":null"inreplytoscreenname":null"user":"id":1164892411140571136"idstr":"1164892411140571136""name":"Lhasa""screenname":"AtTheBlackLodge""location":"\u884c\u304d\u6b62\u307e\u308a\u306e\u591c\u306e\u4e2d""url":null"description":null"translatortype":"none""protected":false"verified":false"followerscount":1165"friendscount":409"listedcount":38"favouritescount":26031"statusescount":63815"createdat":"Fri Aug 23 13:29:34 +0000 2019""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1267796367050604545\/fTwB6HIinormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1267796367050604545\/fTwB6HIinormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/1164892411140571136\/1566639912""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"url":"https:\/\/t.co\/Lfvm0fiqxI""expandedurl":"https:\/\/apps.apple.com\/jp\/story\/id1516720983""displayurl":"apps.apple.com\/jp\/story\/id151\u2026""indices":5073"usermentions":"symbols":"media":"id":1338558799393693696"idstr":"1338558799393693696""indices":7497"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpOEItTVoAA4eqw.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpOEItTVoAA4eqw.jpg""url":"https:\/\/t.co\/DSwINIAS9E""displayurl":"pic.twitter.com\/DSwINIAS9E""expandedurl":"https:\/\/twitter.com\/AtTheBlackLodge\/status\/1338558804275781632\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":680"h":416"resize":"fit""medium":"w":1200"h":734"resize":"fit""large":"w":1800"h":1101"resize":"fit""extendedentities":"media":"id":1338558799393693696"idstr":"1338558799393693696""indices":7497"mediaurl":"http:\/\/pbs.twimg.com\/media\/EpOEItTVoAA4eqw.jpg""mediaurlhttps":"https:\/\/pbs.twimg.com\/media\/EpOEItTVoAA4eqw.jpg""url":"https:\/\/t.co\/DSwINIAS9E""displayurl":"pic.twitter.com\/DSwINIAS9E""expandedurl":"https:\/\/twitter.com\/AtTheBlackLodge\/status\/1338558804275781632\/photo\/1""type":"photo""sizes":"thumb":"w":150"h":150"resize":"crop""small":"w":680"h":416"resize":"fit""medium":"w":1200"h":734"resize":"fit""large":"w":1800"h":1101"resize":"fit""favorited":false"retweeted":false"possiblysensitive":false"filterlevel":"low""lang":"ja""timestampms":"1607972262816"
tweet 2:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:RT iamsamuelpagge: Another Compilation Album From Jamaica And For The Second Time Shatta Wale Is The Headliner. Pre-Order Your JamaicanG\u2026
tweet 3:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:RT GOT7Official: \ud22c\ud45c\uc548\ub0b4 2020 GAONCHART MUSIC AWARDS\n\n\u2705 2\ucc28 \ud22c\ud45c\uae30\uac04  2020.12.27 18:00 (KST)\n\n\u2705 \ubba4\ube57 \uae00\ub85c\ubc8c \ucd08\uc774\uc2a4\uc0c1 \ub0a8\uc790 \ubd80\ubb38 - GOT7(\uac13\uc138\ube10)\n\n\u2705 ios - https:\/\/\u2026
tweet 4:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:RT alarmebangtan: \ud83c\udf3a30th Seoul Music Awards\ud83c\udf3a\n\n\u2728 Vai at\u00e9 o dia 24\/01\n\nApp: SMA\n\n                   Categorias:\n\n\u2022 Legend Grand Prize\n\u2022 Legen\u2026
tweet 5:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:RT MrSaa3d: \u062a\u062d\u062f\u064a\u062b \u0648\u0635\u0644 \u0627\u0644\u0627\u0646 \u0628\u0631\u0642\u0645 14.3\n\n\u0627\u0644\u062a\u062d\u062f\u064a\u062b \u064a\u062d\u0644 \u0645\u0634\u0627\u0643\u0644 \u0648\u062a\u062d\u0633\u064a\u0646\u0627\u062a \u0628\u0627\u0644\u0646\u0638\u0627\u0645 \u060c\u060c \u0648\u064a\u0636\u064a\u0641 \u0645\u064a\u0632\u0629 \u0645\u0647\u0645\u0647 \u0644\u0644\u0645\u0635\u0648\u0631\u064a\u0646 \u0648\u0647\u064a Apple ProRAW \u0631\u0627\u062d \u062a\u0642\u062f\u0631 \u062a\u0635\u0648\u0631 \u0627\u0644\u0635\u0648\u0631\u2026
tweet 6:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:indrabbr https:\/\/t.co\/FoM28bF5H8
tweet 7:Time:Mon Dec 14 18:57:43 +0000 2020 ,tweet text:DeItaone Might as well say \u201cwe are designing a new Apple logo\u201d""displaytextrange":1063"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":false"inreplytostatusid":1338557637483499523"inreplytostatusidstr":"1338557637483499523""inreplytouserid":2704294333"inreplytouseridstr":"2704294333""inreplytoscreenname":"DeItaone""user":"id":221434073"idstr":"221434073""name":"Cesar Gallardo""screenname":"che1476""location":"Chi-town southside""url":null"description":null"translatortype":"none""protected":false"verified":false"followerscount":40"friendscount":135"listedcount":1"favouritescount":2609"statusescount":1385"createdat":"Tue Nov 30 17:17:38 +0000 2010""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"C0DEED""profilebackgroundimageurl":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundimageurlhttps":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1290245157577797632\/xTgK-u1hnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1290245157577797632\/xTgK-u1hnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/221434073\/1603051655""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"usermentions":"screenname":"DeItaone""name":"*Walter Bloomberg""id":2704294333"idstr":"2704294333""indices":09"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607972263910"
tweet 8:Time:Mon Dec 14 18:57:44 +0000 2020 ,tweet text:RT taylornation13: Good thing folklore\u2019s sister\u2019s gonna swear she was with me. \ud83d\ude09 We\u2019re having an evermorealbum amp; folklore listening part\u2026
tweet 9:Time:Mon Dec 14 18:57:44 +0000 2020 ,tweet text:taylornation13 Whats the point of joining the streaming party if taylors team cant even give basic promo.willow al\u2026 https:\/\/t.co\/u6VUSm9Z22""displaytextrange":16140"source":"\u003ca href=\"https:\/\/mobile.twitter.com\" rel=\"nofollow\"\u003eTwitter Web App\u003c\/a\u003e""truncated":true"inreplytostatusid":1338331848766722048"inreplytostatusidstr":"1338331848766722048""inreplytouserid":80144576"inreplytouseridstr":"80144576""inreplytoscreenname":"taylornation13""user":"id":1288633422106316802"idstr":"1288633422106316802""name":"sahel""screenname":"iisahel""location":null"url":null"description":"Hi i`m SAHEL \n20\nmed student\ni love taylorswift13 period!""translatortype":"none""protected":false"verified":false"followerscount":37"friendscount":29"listedcount":0"favouritescount":3517"statusescount":1009"createdat":"Thu Jul 30 00:32:17 +0000 2020""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1288633593711988742\/IPpZnbfnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1288633593711988742\/IPpZnbfnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/1288633422106316802\/1596070269""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"extendedtweet":"fulltext":"taylornation13 Whats the point of joining the streaming party if taylors team cant even give basic promo.willow already dropped to 3 on today's top hits playlist.Taylor needs better playlisting on spotify and apple music. And getwillowback to 1 NOW!! RepublicRecords""displaytextrange":16269"entities":"hashtags":"text":"getwillowback""indices":227241"urls":"usermentions":"screenname":"taylornation13""name":"Taylor Nation""id":80144576"idstr":"80144576""indices":015"screenname":"RepublicRecords""name":"Republic Records""id":148425368"idstr":"148425368""indices":253269"symbols":"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"url":"https:\/\/t.co\/u6VUSm9Z22""expandedurl":"https:\/\/twitter.com\/i\/web\/status\/1338558811192385540""displayurl":"twitter.com\/i\/web\/status\/1\u2026""indices":117140"usermentions":"screenname":"taylornation13""name":"Taylor Nation""id":80144576"idstr":"80144576""indices":015"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607972264465"
tweet 10:Time:Mon Dec 14 18:57:44 +0000 2020 ,tweet text:RT pressfreedom: \u201cCharging Jimmy Lai under Hong Kong\u2019s new national security law marks a dangerous escalation in China\u2019s attacks on Hong K\u2026
tweet 11:Time:Mon Dec 14 18:57:45 +0000 2020 ,tweet text:RT taylornation13: Good thing folklore\u2019s sister\u2019s gonna swear she was with me. \ud83d\ude09 We\u2019re having an evermorealbum amp; folklore listening part\u2026
