tweet 1:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT somsakjeam: \"\u0e04\u0e19\u0e44\u0e17\u0e22...\u0e15\u0e49\u0e2d\u0e07\u0e04\u0e34\u0e14\u0e16\u0e36\u0e07\u0e27\u0e48\u0e32\u0e04\u0e19\u0e01\u0e48\u0e2d\u0e19\u0e46\u0e17\u0e33\u0e2d\u0e30\u0e44\u0e23\u0e43\u0e2b\u0e49\u0e40\u0e23\u0e32 \u0e2a\u0e16\u0e32\u0e1a\u0e31\u0e19\u0e1e\u0e23\u0e30\u0e21\u0e2b\u0e32\u0e01\u0e29\u0e31\u0e15\u0e23\u0e34\u0e22\u0e4c...\u0e17\u0e33\u0e2d\u0e30\u0e44\u0e23\u0e43\u0e2b\u0e49\u0e40\u0e23\u0e32\"\n\u0e27\u0e0a\u0e34\u0e23\u0e32\u0e25\u0e07\u0e01\u0e23\u0e13\u0e4c\u0e19\u0e31\u0e49\u0e19\u0e1e\u0e39\u0e14\u0e44\u0e21\u0e48\u0e15\u0e48\u0e32\u0e07\u0e08\u0e32\u0e01\u0e17\u0e35\u0e48\u0e1a\u0e23\u0e23\u0e14\u0e32\u0e1d\u0e48\u0e32\u0e22\u0e02\u0e27\u0e32\u2026
tweet 2:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT RenuAmbedkar: Tik-Tok \u092c\u0948\u0928 \u0939\u094b\u0928\u0947 \u092a\u0930 \u0914\u0930 facebook \u091b\u094b\u0921\u093c \u0915\u0930 \u0915\u0941\u091b \u0932\u094b\u0917\u094b\u0902 \u0928\u0947 \u091f\u094d\u0935\u093f\u091f\u0930 \u0915\u093e \u0930\u0942\u0916 \u0915\u0930 \u0932\u093f\u092f\u093e \u0939\u0948 \u0935\u094b \u0915\u0947\u0935\u0932 \u0932\u0921\u093c\u0915\u093f\u092f\u094b\u0902\/ \u092e\u0939\u093f\u0932\u093e\u0913\u0902 \u0938\u0947 DM \u092e\u0947\u0902 \u092c\u093e\u0924 \u0915\u0930\u2026
tweet 3:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 4:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT normalistasomos: CONFERENCIA MAGISTRAL\nDra. Marcela Lagarde\n\"Aportes feministas a las pol\u00edticas p\u00fablicas\"\n\nLa cita es este mi\u00e9rcoles 16\u2026
tweet 5:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:Tudo
tweet 6:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT mybluemoonsky: \ud83c\udf88 WORLD Y AWARDS (THAILAND)\n\u201d\u0e1e\u0e32Y\u0e44\u0e17\u0e22\u0e44\u0e1b\u0e2a\u0e39\u0e48\u0e40\u0e27\u0e17\u0e35\u0e42\u0e25\u0e01\u201d \n\n((\u0e07\u0e32\u0e19\u0e42\u0e2b\u0e27\u0e15))\n\n\u0e23\u0e32\u0e22\u0e25\u0e30\u0e40\u0e2d\u0e35\u0e22\u0e14\u0e40\u0e1e\u0e34\u0e48\u0e21\u0e40\u0e15\u0e34\u0e21\n: https:\/\/t.co\/H0vYabNHFZ\n\n\u0e40\u0e08\u0e49\u0e32\u0e41\u0e01\u0e49\u0e21\u2026
tweet 7:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT MediaALshafia: \u0627\u0644\u0645\u064f\u062d\u0633\u0646 \u0648\u064e\u0627\u0644\u0628\u064e\u0627\u0628 \u0648\u064e\u0627\u0644\u0625\u0633\u0652\u0642\u0627\u0637...\u0628\u064e\u064a\u0652\u0646...\u0627\u0644\u062d\u064e\u0642\u064a\u0642\u064e\u0629 \u0648\u064e\u0627\u0644\u062e\u064f\u0631\u0627\u0641\u064e\u0629 \u0648\u064e\u0627\u0644\u0633\u0651\u064a\u0627\u0633\u064e\u0629\nhttps:\/\/t.co\/tTslVBqEoH\n\u0627\u0644\u0635\u0631\u062e\u064a\u064a\u063a\u0631\u062f\u0648\u0644\u0627\u064a\u0629\u0627\u0644\u0641\u0642\u2026
tweet 8:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\nLe Lot12 est dispo !\n\nA vos RT !\n\nhttps:\/\/t.co\/H4X2NoKsD0 https:\/\/t.co\/Wid8avQksm
tweet 9:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT skwawkbox: Join us tonight on SocialistTelly - and https:\/\/t.co\/4rVuQrqivL - 7.30-8.30pm with BonnieCraven and adamhamdy https:\/\/t.c\u2026
tweet 10:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:RT TopAchat: Concours \ud83c\udf81 PetitPapaTopAchat \ud83c\udf84\n\n\ud83d\udd25 + de 60 000 \u20ac de cadeaux \u00e0 gagner !\n\nPlace au Lot12 de 3966 \u20ac ! \ud83d\udd25\n\nPour participer\n\u2611 RT\u2026
tweet 11:Time:Mon Dec 14 18:33:55 +0000 2020 ,tweet text:https:\/\/t.co\/o8hKmOyLm6
