tweet 1:Time:Mon Dec 14 18:43:06 +0000 2020 ,tweet text:RT ShafQatkhanPk: We request Google authoriries to remove name of Mirza Marrow as present caliph. He is not even Muslim please remove his\u2026
tweet 2:Time:Mon Dec 14 18:43:06 +0000 2020 ,tweet text:RT Nini0s: This is unacceptable 2billions of Muslims all around the world that Google is showing Qadyani Mirza Masror ahmed as Muslim cal\u2026
tweet 3:Time:Mon Dec 14 18:43:07 +0000 2020 ,tweet text:RT IslamAndLifeOFC: Islam Hadith Muslim ProphetMuhammad https:\/\/t.co\/Ulw5RUN4Hu
tweet 4:Time:Mon Dec 14 18:43:07 +0000 2020 ,tweet text:RT BrutIndia: This temple in Karnataka had to make way for a highway expansion. But in a gesture of communal harmony this Muslim man went\u2026
tweet 5:Time:Mon Dec 14 18:43:08 +0000 2020 ,tweet text:RT MaryamNamazie: International ExMuslim Coalition condemns the assassination of Iranian atheist activist Arsalan Rezaei stabbed at his h\u2026
tweet 6:Time:Mon Dec 14 18:43:08 +0000 2020 ,tweet text:RT muhammadaslam68: \u0642\u0627\u062f\u06cc\u0627\u0646\u06cc\u062e\u0644\u06cc\u0641\u06c1\u0646\u06c1\u06cc\u06ba\u06a9\u0627\u0641\u0631\u06c1\u06d2\nand whether they should be counted as Muslims or not and whether a non-Muslim is qualified\u2026
tweet 7:Time:Mon Dec 14 18:43:09 +0000 2020 ,tweet text:deenswrld999 Isssa Thursday night and i live in a brown Muslim household \ud83d\ude14""displaytextrange":1475"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":false"inreplytostatusid":1338554132429418498"inreplytostatusidstr":"1338554132429418498""inreplytouserid":1132643497855639552"inreplytouseridstr":"1132643497855639552""inreplytoscreenname":"deenswrld999""user":"id":2875169283"idstr":"2875169283""name":"fat franks successor""screenname":"ashikam""location":"Cape Town South Africa""url":null"description":"20 my other account is in twitter jail so we outchea chilling.""translatortype":"none""protected":false"verified":false"followerscount":307"friendscount":267"listedcount":2"favouritescount":30660"statusescount":30760"createdat":"Thu Nov 13 15:31:58 +0000 2014""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"C0DEED""profilebackgroundimageurl":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundimageurlhttps":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1336392621657387011\/9ILvCiMAnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1336392621657387011\/9ILvCiMAnormal.jpg""profilebannerurl":"https:\/\/pbs.twimg.com\/profilebanners\/2875169283\/1607577950""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"usermentions":"screenname":"deenswrld999""name":"fuck draco""id":1132643497855639552"idstr":"1132643497855639552""indices":013"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607971389797"
tweet 8:Time:Mon Dec 14 18:43:11 +0000 2020 ,tweet text:lewlloyd Setantayseis Bowdo74 MichaelBaker95 But when it\u2019s a Muslim committing atrocities all 1.6 billion are terrorists eh? \ud83e\udd21""displaytextrange":50133"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":false"inreplytostatusid":1338511640321531904"inreplytostatusidstr":"1338511640321531904""inreplytouserid":3279329938"inreplytouseridstr":"3279329938""inreplytoscreenname":"lewlloyd""user":"id":1063917650881974272"idstr":"1063917650881974272""name":"AI""screenname":"AI199292""location":"London England""url":null"description":null"translatortype":"none""protected":false"verified":false"followerscount":231"friendscount":3008"listedcount":0"favouritescount":8653"statusescount":2396"createdat":"Sat Nov 17 22:11:49 +0000 2018""utcoffset":null"timezone":null"geoenabled":false"lang":null"contributorsenabled":false"istranslator":false"profilebackgroundcolor":"F5F8FA""profilebackgroundimageurl":"""profilebackgroundimageurlhttps":"""profilebackgroundtile":false"profilelinkcolor":"1DA1F2""profilesidebarbordercolor":"C0DEED""profilesidebarfillcolor":"DDEEF6""profiletextcolor":"333333""profileusebackgroundimage":true"profileimageurl":"http:\/\/pbs.twimg.com\/profileimages\/1276566726927360000\/oooNwUTSnormal.jpg""profileimageurlhttps":"https:\/\/pbs.twimg.com\/profileimages\/1276566726927360000\/oooNwUTSnormal.jpg""defaultprofile":true"defaultprofileimage":false"following":null"followrequestsent":null"notifications":null"geo":null"coordinates":null"place":null"contributors":null"isquotestatus":false"quotecount":0"replycount":0"retweetcount":0"favoritecount":0"entities":"hashtags":"urls":"usermentions":"screenname":"lewlloyd""name":"Lewis Lloyd""id":3279329938"idstr":"3279329938""indices":010"screenname":"Setantayseis""name":"Setantayseis""id":52405472"idstr":"52405472""indices":1124"screenname":"Bowdo74""name":"Mark Bowden ""id":3697011497"idstr":"3697011497""indices":2533"screenname":"MichaelBaker95""name":"Michael 1\ufe0f\u20e39\ufe0f\u20e3\ud83c\udfc6""id":25724338"idstr":"25724338""indices":3449"symbols":"favorited":false"retweeted":false"filterlevel":"low""lang":"en""timestampms":"1607971391358"
tweet 9:Time:Mon Dec 14 18:43:12 +0000 2020 ,tweet text:RT flavourez: I dont claim to be pious at ALL im just like you trying my hardest to be a good Muslim in this evil Dunya. The tests are e\u2026
tweet 10:Time:Mon Dec 14 18:43:13 +0000 2020 ,tweet text:RT RanaAyyub: A 22 year old Hindu woman detained for marrying a Muslim man suffers a miscarriage. These headlines have become so normal t\u2026
tweet 11:Time:Mon Dec 14 18:43:16 +0000 2020 ,tweet text:RT Wizarab10: The bill has gone through three name changes reflecting its sensitivity starting life as an \u201canti-separatism\u201d law and endi\u2026
